Date,Close,CPI,CashRate
2005-09-30,4641.2,,
2005-10-31,4459.7,,
2005-11-30,4634.8,,
2005-12-31,4763.4,,
2006-01-31,4929.6,,
2006-02-28,4921.3,,
2006-03-31,5129.7,,
2006-04-30,5258.8,,
2006-05-31,5001.7,,5.75
2006-06-30,5073.9,,
2006-07-31,4986.0,,
2006-08-31,5115.4,,6.0
2006-09-30,5154.1,,
2006-10-31,5384.4,,
2006-11-30,5482.1,,6.25
2006-12-31,5669.9,,
2007-01-31,5773.4,,
2007-02-28,5832.5,,
2007-03-31,5995.0,,
2007-04-30,6166.0,,
2007-05-31,6313.5,,
2007-06-30,6274.9,,
2007-07-31,6144.2,,
2007-08-31,6247.2,,6.5
2007-09-30,6567.8,,
2007-10-31,6754.1,,
2007-11-30,6533.1,,6.75
2007-12-31,6339.8,,
2008-01-31,5650.3,,
2008-02-29,5572.1,,7.0
2008-03-31,5355.7,,7.25
2008-04-30,5595.4,,
2008-05-31,5654.7,,
2008-06-30,5215.3,,
2008-07-31,4977.4,,
2008-08-31,5135.6,,
2008-09-30,4600.5,,7.0
2008-10-31,4018.0,,6.0
2008-11-30,3742.5,,5.25
2008-12-31,3722.3,,4.25
2009-01-31,3540.7,,
2009-02-28,3344.5,,3.25
2009-03-31,3582.1,,
2009-04-30,3780.5,,3.0
2009-05-31,3818.0,,
2009-06-30,3954.9,,
2009-07-31,4244.0,,
2009-08-31,4479.1,,
2009-09-30,4743.6,,
2009-10-31,4643.2,,3.25
2009-11-30,4701.4,,3.5
2009-12-31,4870.6,,3.75
2010-01-31,4569.6,,
2010-02-28,4637.7,,
2010-03-31,4875.5,,4.0
2010-04-30,4807.4,,4.25
2010-05-31,4429.7,,4.5
2010-06-30,4301.5,,
2010-07-31,4493.5,,
2010-08-31,4404.2,,
2010-09-30,4582.9,,
2010-10-31,4661.6,,
2010-11-30,4584.4,,4.75
2010-12-31,4745.2,,
2011-01-31,4753.9,,
2011-02-28,4831.7,,
2011-03-31,4837.9,,
2011-04-30,4823.2,,
2011-05-31,4708.3,,
2011-06-30,4608.0,,
2011-07-31,4424.6,,
2011-08-31,4296.5,,
2011-09-30,4008.6,,
2011-10-31,4298.1,,
2011-11-30,4119.8,,4.5
2011-12-31,4056.6,,4.25
2012-01-31,4262.7,,
2012-02-29,4298.5,,
2012-03-31,4335.2,,
2012-04-30,4396.6,,
2012-05-31,4076.3,,3.75
2012-06-30,4094.6,,3.5
2012-07-31,4269.2,,
2012-08-31,4316.1,,
2012-09-30,4387.0,,
2012-10-31,4517.0,,3.25
2012-11-30,4506.0,,
2012-12-31,4649.0,,3.0
2013-01-31,4878.8,,
2013-02-28,5104.1,,
2013-03-31,4966.5,,
2013-04-30,5191.2,,
2013-05-31,4926.6,,2.75
2013-06-30,4802.6,,
2013-07-31,5052.0,,
2013-08-31,5135.0,,2.5
2013-09-30,5218.9,,
2013-10-31,5425.5,,
2013-11-30,5320.1,,
2013-12-31,5352.2,,
2014-01-31,5190.0,,
2014-02-28,5404.8,,
2014-03-31,5394.8,,
2014-04-30,5489.1,,
2014-05-31,5492.5,,
2014-06-30,5395.7,,
2014-07-31,5632.9,,
2014-08-31,5625.9,,
2014-09-30,5292.8,,
2014-10-31,5526.6,,
2014-11-30,5313.0,,
2014-12-31,5411.0,,
2015-01-31,5588.3,,
2015-02-28,5928.8,,2.25
2015-03-31,5891.5,,
2015-04-30,5790.0,,
2015-05-31,5777.2,,2.0
2015-06-30,5459.0,,
2015-07-31,5699.2,,
2015-08-31,5207.0,,
2015-09-30,5021.6,,
2015-10-31,5239.4,,
2015-11-30,5166.5,,
2015-12-31,5295.9,,
2016-01-31,5005.5,,
2016-02-29,4880.9,,
2016-03-31,5082.8,,
2016-04-30,5252.2,,
2016-05-31,5378.6,,1.75
2016-06-30,5233.4,,
2016-07-31,5562.4,,
2016-08-31,5433.0,,1.5
2016-09-30,5435.9,,
2016-10-31,5317.7,,
2016-11-30,5440.5,,
2016-12-31,5665.8,,
2017-01-31,5620.9,,
2017-02-28,5712.2,,
2017-03-31,5864.9,,
2017-04-30,5924.1,,
2017-05-31,5724.6,,
2017-06-30,5721.5,,
2017-07-31,5720.6,,
2017-08-31,5714.5,,
2017-09-30,5681.6,,
2017-10-31,5909.0,,
2017-11-30,5969.9,,
2017-12-31,6065.1,,
2018-01-31,6037.7,,
2018-02-28,6016.0,,
2018-03-31,5759.4,,
2018-04-30,5982.7,,
2018-05-31,6011.9,,
2018-06-30,6194.6,,
2018-07-31,6280.2,,
2018-08-31,6319.5,,
2018-09-30,6207.6,,
2018-10-31,5830.3,,
2018-11-30,5667.2,,
2018-12-31,5646.4,,
2019-01-31,5864.7,,
2019-02-28,6169.0,,
2019-03-31,6180.7,,
2019-04-30,6325.5,,
2019-05-31,6396.9,,
2019-06-30,6618.8,,1.25
2019-07-31,6812.6,,1.0
2019-08-31,6604.2,,
2019-09-30,6688.3,,
2019-10-31,6663.4,,0.75
2019-11-30,6846.0,,
2019-12-31,6684.1,,
2020-01-31,7017.2,,
2020-02-29,6441.2,,
2020-03-31,5076.8,,0.25
2020-04-30,5522.4,,
2020-05-31,5755.7,,
2020-06-30,5897.9,,
2020-07-31,5927.8,,
2020-08-31,6060.5,,
2020-09-30,5815.9,,
2020-10-31,5927.6,,
2020-11-30,6517.8,,0.1
2020-12-31,6587.1,,
2021-01-31,6607.4,,
2021-02-28,6673.3,,
2021-03-31,6790.7,,
2021-04-30,7025.8,,
2021-05-31,7161.6,,
2021-06-30,7313.0,,
2021-07-31,7392.6,,
2021-08-31,7534.9,,
2021-09-30,7332.2,,
2021-10-31,7323.7,,
2021-11-30,7256.0,,
2021-12-31,7444.6,,
2022-01-31,6971.6,,
2022-02-28,7049.1,,
2022-03-31,7499.6,,
2022-04-30,7435.0,,
2022-05-31,7211.2,,0.35
2022-06-30,6568.1,,0.85
2022-07-31,6945.2,,1.35
2022-08-31,6986.8,,1.85
2022-09-30,6474.2,,2.35
2022-10-31,6863.5,,2.6
2022-11-30,7284.2,,2.85
2022-12-31,7038.7,,3.1
2023-01-31,7476.7,,
2023-02-28,7258.4,,3.35
2023-03-31,7177.8,,3.6
2023-04-30,7309.2,,
2023-05-31,7091.3,,3.85
2023-06-30,7203.3,,4.1
2023-07-31,7410.4,,
2023-08-31,7305.3,,
2023-09-30,7048.6,,
2023-10-31,6780.7,,
2023-11-30,7087.3,,4.35
2023-12-31,7590.8,,
2024-01-31,7680.7,,
2024-02-29,7698.7,,
2024-03-31,7896.9,,
2024-04-30,7664.1,,
2024-05-31,7701.7,,
2024-06-30,7767.5,,
2024-07-31,8092.3,,
2024-08-31,8091.9,,
2024-09-30,8269.8,,
2024-10-31,8160.0,,
2024-11-30,8436.2,,
2024-12-31,8159.1,,
2025-01-31,8532.3,,
2025-02-28,8172.4,,4.1
2025-03-31,7843.4,,
2025-04-30,8126.2,,
2025-05-31,8434.7,,3.85
2025-06-30,8542.3,,
2025-07-31,8742.8,,
2025-08-31,8973.1,,3.6
2025-09-30,8848.8,,
2025-10-31,8881.9,,
2025-11-30,8790.4,,
