Date,ASX200,CPI,CashRate,Unemployment,GDP_real,ASX_YoY,CPI_YoY,GDP_YoY,Unemp_Change_YoY,Rate_Change_MoM,Rate_Change_YoY,ASX_Peak,Drawdown,GDP_Rolling_6m,Recession,Bear_Market
1998-12-31,2717.6,67.8,4.75,7.1836632,327218.0,5.8502765443639415,1.4970059880239583,5.089764588752921,-0.7267860000000006,-0.25,-0.25,2717.6,0.0,4.595896551820914,0,0
1999-01-31,2781.7,67.8,4.75,7.1190305,327218.0,6.955552137803744,1.4970059880239583,5.089764588752921,-0.7460225999999999,0.0,-0.25,2781.7,0.0,4.71509305251638,0,0
1999-02-28,2768.4,67.8,4.75,7.11507,327218.0,5.386577334500742,1.4970059880239583,5.089764588752921,-0.6573095000000002,0.0,-0.25,2781.7,-0.4781248876586152,4.834289553211845,0,0
1999-03-31,2867.0,67.8,4.75,7.0127398,330135.0,6.738644825018625,1.1940298507462588,5.152600029303289,-0.8707893999999996,0.0,-0.25,2867.0,0.0,4.929920471817266,0,0
1999-04-30,3027.8,67.8,4.75,6.9795046,330135.0,11.768180140273168,1.1940298507462588,5.152600029303289,-0.6242675999999996,0.0,-0.25,3027.8,0.0,5.025551390422685,0,0
1999-05-31,2831.9,67.8,4.75,7.0249339,330135.0,6.6508492449064205,1.1940298507462588,5.152600029303289,-0.7399054999999999,0.0,-0.25,3027.8,-6.4700442565559175,5.121182309028105,0,0
1999-06-30,2903.7,68.1,4.75,6.6532056,332676.0,10.8240143505973,1.0385756676557722,4.623977507524213,-1.1790206000000003,0.0,-0.25,3027.8,-4.098685514234768,5.04355112882332,0,0
1999-07-31,2951.0,68.1,4.75,6.675263,332676.0,10.88565738548828,1.0385756676557722,4.623977507524213,-1.2994177999999996,0.0,-0.25,3027.8,-2.53649514498977,4.965919948618535,0,0
1999-08-31,2875.7,68.1,4.75,6.9057203,332676.0,18.33669396321138,1.0385756676557722,4.623977507524213,-0.8494886000000008,0.0,-0.25,3027.8,-5.023449369178956,4.888288768413751,0,0
1999-09-30,2817.0,68.7,4.75,7.0412456,335965.0,12.172978138812551,1.7777777777777892,4.095145438546477,-0.5923406,0.0,-0.25,3027.8,-6.962150736508366,4.712046336620949,0,0
1999-10-31,2821.4,68.7,4.75,6.7764185,335965.0,10.08193523214982,1.7777777777777892,4.095145438546477,-0.5373200999999996,0.0,-0.25,3027.8,-6.816830702159981,4.535803904828147,0,0
1999-11-30,2970.3,68.7,5.0,6.4400626,335965.0,10.60098302055408,1.7777777777777892,4.095145438546477,-1.1861753999999998,0.25,0.0,3027.8,-1.8990686306889493,4.359561473035345,0,0
1999-12-31,3117.7,69.1,5.0,6.6844127,339849.0,14.722549308213129,1.9174041297935096,3.860117719685352,-0.4992504999999996,0.0,0.25,3117.7,0.0,4.232251508395535,0,0
2000-01-31,3080.2,69.1,5.0,6.767939,339849.0,10.7308480425639,1.9174041297935096,3.860117719685352,-0.3510914999999999,0.0,0.25,3117.7,-1.2028097636077928,4.104941543755725,0,0
2000-02-29,3124.6,69.1,5.5,6.6190159,339849.0,12.866637769108502,1.9174041297935096,3.860117719685352,-0.4960541000000003,0.5,0.75,3124.6,0.0,3.977631579115915,0,0
2000-03-31,3133.3,69.7,5.5,6.5650919,343319.0,9.288454830833626,2.8023598820059004,3.993517803322888,-0.4476479000000006,0.0,0.75,3133.3,0.0,3.9606936399119825,0,0
2000-04-30,3115.8,69.7,5.75,6.3763307,343319.0,2.9064006869674364,2.8023598820059004,3.993517803322888,-0.6031739000000007,0.25,1.0,3133.3,-0.5585165799636194,3.943755700708051,0,0
2000-05-31,3081.0,69.7,6.0,6.4143034,343319.0,8.796214555598713,2.8023598820059004,3.993517803322888,-0.6106305000000001,0.25,1.25,3133.3,-1.6691666932627025,3.92681776150412,0,0
2000-06-30,3311.2,70.2,6.0,6.1148907,345207.0,14.033818920687402,3.083700440528636,3.7667279875915223,-0.5383148999999996,0.0,1.25,3311.2,0.0,3.9112528061551486,0,0
2000-07-31,3251.1,70.2,6.0,5.954076,345207.0,10.169434090138928,3.083700440528636,3.7667279875915223,-0.7211870000000005,0.0,1.25,3311.2,-1.8150519449142255,3.8956878508061776,0,0
2000-08-31,3297.8,70.2,6.25,6.0513215,345207.0,14.678165316270842,3.083700440528636,3.7667279875915223,-0.8543987999999993,0.25,1.5,3311.2,-0.4046871224933412,3.880122895457206,0,0
2000-09-30,3298.8,72.9,6.25,5.9630303,345920.0,17.10330138445155,6.113537117903944,2.963106275951355,-1.0782153,0.0,1.5,3311.2,-0.3744865909639849,3.708387640895283,0,0
2000-10-31,3254.6,72.9,6.25,6.0098167,345920.0,15.354079534982624,6.113537117903944,2.963106275951355,-0.7666018000000001,0.0,1.5,3311.2,-1.7093500845614895,3.5366523863333605,0,0
2000-11-30,3274.6,72.9,6.25,6.2617568,345920.0,10.244756421910228,6.113537117903944,2.963106275951355,-0.1783058000000004,0.0,1.25,3311.2,-1.1053394539743857,3.3649171317714384,0,0
2000-12-31,3206.2,73.1,6.25,6.2438457,346655.0,2.83863104211437,5.788712011577424,2.002654119917957,-0.4405670000000006,0.0,1.25,3311.2,-3.1710558105822684,3.0709048204925105,0,0
2001-01-31,3341.7,73.1,6.25,6.1402368,346655.0,8.489708460489576,5.788712011577424,2.002654119917957,-0.6277021999999999,0.0,1.25,3341.7,0.0,2.776892509213583,0,0
2001-02-28,3326.5,73.1,5.75,6.5017709,346655.0,6.461627088267297,5.788712011577424,2.002654119917957,-0.1172449999999996,-0.5,0.25,3341.7,-0.4548583056528055,2.482880197934656,0,0
2001-03-31,3147.2,73.9,5.5,6.4587579,348372.0,0.4436217406567966,6.025824964131998,1.471809017269643,-0.1063339999999994,-0.25,0.0,3341.7,-5.820390819044197,2.234330654821037,0,0
2001-04-30,3329.4,73.9,5.0,6.7823256,348372.0,6.855382245330244,6.025824964131998,1.471809017269643,0.4059949000000005,-0.5,-0.75,3341.7,-0.3680761289164169,1.9857811117074189,0,0
2001-05-31,3379.1,73.9,5.0,6.8928028,348372.0,9.675430055176882,6.025824964131998,1.471809017269643,0.4784994000000004,0.0,-1.0,3379.1,0.0,1.7372315685937998,0,0
2001-06-30,3490.3,74.5,5.0,6.9327147,351764.0,5.408915196907471,6.125356125356118,1.8994400461172625,0.8178239999999999,0.0,-1.0,3490.3,0.0,1.7200292229603509,0,0
2001-07-31,3324.5,74.5,5.0,6.8798703,351764.0,2.257697394727942,6.125356125356118,1.8994400461172625,0.9257943000000006,0.0,-1.0,3490.3,-4.750307996447301,1.702826877326902,0,0
2001-08-31,3275.6,74.5,5.0,6.8808959,351764.0,-0.6731760567651235,6.125356125356118,1.8994400461172625,0.8295743999999994,0.0,-1.25,3490.3,-6.1513336962438885,1.6856245316934526,0,0
2001-09-30,3049.5,74.7,4.75,6.8416403,355669.0,-7.55729356129502,2.469135802469125,2.818281683626278,0.8786100000000001,-0.25,-1.5,3490.3,-12.629286880783896,1.910036642752892,0,0
2001-10-31,3249.6,74.7,4.5,7.1935023,355669.0,-0.1536287101333466,2.469135802469125,2.818281683626278,1.1836855999999996,-0.25,-1.75,3490.3,-6.896255336217527,2.134448753812331,0,0
2001-11-30,3337.4,74.7,4.5,6.8829971,355669.0,1.9177914859830336,2.469135802469125,2.818281683626278,0.6212403000000002,0.0,-1.75,3490.3,-4.380712259691144,2.35886086487177,0,0
2001-12-31,3422.3,75.4,4.25,6.8613152,359744.0,6.740066121888844,3.146374829001375,3.775800147120334,0.6174695000000003,-0.25,-2.0,3490.3,-1.9482565968541363,2.671587548372282,0,0
2002-01-31,3464.2,75.4,4.25,6.9130746,359744.0,3.665798844899304,3.146374829001375,3.775800147120334,0.7728377999999996,0.0,-2.0,3490.3,-0.7477867232043245,2.984314231872794,0,0
2002-02-28,3414.3,75.4,4.25,6.5363026,359744.0,2.639410792123864,3.146374829001375,3.775800147120334,0.0345316999999996,0.0,-1.5,3490.3,-2.1774632553075657,3.2970409153733056,0,0
2002-03-31,3414.8,76.1,4.25,6.4303264,363906.0,8.502796136248115,2.9769959404600588,4.459026557817514,-0.0284314999999999,0.0,-1.25,3490.3,-2.1631378391542277,3.570498394405178,0,0
2002-04-30,3350.0,76.1,4.25,6.3454237,363906.0,0.6187301015197821,2.9769959404600588,4.459026557817514,-0.4369019000000005,0.0,-0.75,3490.3,-4.019711772627,3.8439558734370514,0,0
2002-05-31,3373.6,76.1,4.5,6.3723239,363906.0,-0.1627652333461626,2.9769959404600588,4.459026557817514,-0.5204789000000005,0.25,-0.5,3490.3,-3.3435521301893867,4.117413352468924,0,0
2002-06-30,3216.0,76.6,4.75,6.4956767,367720.0,-7.858923301721921,2.8187919463087185,4.535995724406128,-0.4370380000000002,0.25,-0.25,3490.3,-7.858923301721921,4.24411261534989,0,0
2002-07-31,3086.2,76.6,4.75,6.1796482,367720.0,-7.167995187246213,2.8187919463087185,4.535995724406128,-0.7002221000000004,0.0,-0.25,3490.3,-11.57780133512879,4.370811878230856,0,0
2002-08-31,3120.1,76.6,4.75,6.3489793,367720.0,-4.747221883013797,2.8187919463087185,4.535995724406128,-0.5319165999999997,0.0,-0.25,3490.3,-10.606538119932395,4.497511141111821,0,0
2002-09-30,2970.9,77.1,4.75,6.3120107,370722.0,-2.5774717166748617,3.2128514056224855,4.232305879905196,-0.5296295999999998,0.0,0.0,3490.3,-14.881242300088816,4.4597243614597675,0,0
2002-10-31,3042.9,77.1,4.75,6.1282463,370722.0,-6.360782865583447,3.2128514056224855,4.232305879905196,-1.0652559999999998,0.0,0.25,3490.3,-12.818382374007964,4.421937581807715,0,0
2002-11-30,3061.4,77.1,4.75,6.1623858,370722.0,-8.269910708935102,3.2128514056224855,4.232305879905196,-0.7206112999999998,0.0,0.25,3490.3,-12.288341976334417,4.384150802155662,0,0
2002-12-31,3007.1,77.6,4.75,6.182098,372434.0,-12.1321918008357,2.9177718832891,3.5275084504536647,-0.6792172000000001,0.0,0.5,3490.3,-13.844082170587058,4.216069589830251,0,0
2003-01-31,2956.9,77.6,4.75,6.0808633,372434.0,-14.644073667802084,2.9177718832891,3.5275084504536647,-0.8322113,0.0,0.5,3490.3,-15.28235395238232,4.047988377504841,0,0
2003-02-28,2800.9,77.6,4.75,5.954831,372434.0,-17.965615206630936,2.9177718832891,3.5275084504536647,-0.5814715999999995,0.0,0.5,3490.3,-19.751883792224167,3.8799071651794304,0,0
