Date,ASX200
2008-12-31,3722.300048828125
2009-01-31,3540.699951171875
2009-02-28,3344.5
2009-03-31,3582.10009765625
2009-04-30,3780.5
2009-05-31,3818.0
2009-06-30,3954.89990234375
2009-07-31,4244.0
2009-08-31,4479.10009765625
2009-09-30,4743.60009765625
2009-10-31,4643.2001953125
2009-11-30,4701.39990234375
2009-12-31,4870.60009765625
2010-01-31,4569.60009765625
2010-02-28,4637.7001953125
2010-03-31,4875.5
2010-04-30,4807.39990234375
2010-05-31,4429.7001953125
2010-06-30,4301.5
2010-07-31,4493.5
2010-08-31,4404.2001953125
2010-09-30,4582.89990234375
2010-10-31,4661.60009765625
2010-11-30,4584.39990234375
2010-12-31,4745.2001953125
2011-01-31,4753.89990234375
2011-02-28,4831.7001953125
2011-03-31,4837.89990234375
